QuestionID,entailment_score,contradiction_score,obligation_coverage_score,composite_score
8d9c9c4a-2a66-4d1e-8b0b-0bbf3e3f1c2e,0.00403,0.5005,0.0,0.16784
7b3f8c8d-98a9-4a4b-9c1e-6a4c7aeb2f10,0.96461,0.2215,0.1111111111111111,0.61807
1dc7f828-3f5a-4f3d-8ef6-fd657d65d9a2,0.05957,0.08101,0.0,0.32619
e7a8248d-7d42-48c7-8e13-6407c6b5e991,0.00704,0.63496,0.0,0.12403
27fb0e3b-cb35-46dc-bbb0-507adf02a3b8,0.02114,0.31723,0.0,0.23464
1d39b2f7-5c90-4457-8ce3-cac5d0317b4c,0.49311,0.61955,0.25,0.37452
5ffbb16e-fad9-4f2f-87e3-2e73cf781a37,0.54546,0.89874,0.3,0.31557
c3df01cd-5d9b-42a9-bb20-50893a9eb2c4,0.218,0.75928,0.0,0.15291
fb0a1f91-9601-4660-84ef-2de6a5192e03,0.61299,0.86996,0.2727272727272727,0.33859
4b04de5a-cae7-4e43-b10f-7bb2178f20eb,0.04161,0.16948,0.0,0.29071
15b3bb7f-2dbf-43de-b7f7-68af3a41ab21,0.00902,0.36265,0.0,0.21546
44f5b9e4-7a27-4418-9041-08a2b5891d82,0.85456,0.74331,0.5,0.53708
b6a21e92-0a4b-48df-9bb3-0c42b97958f1,0.0062,0.31981,0.0,0.2288
12e74317-345c-41e2-b74e-28e4a1fae51f,0.13996,0.24259,0.3333333333333333,0.41023
f8c3c4f1-7c5b-4e9e-9f1c-2f0a9a5d8a71,0.99344,0.47697,0.0,0.50549
3a6a2a13-9f57-4e5e-9c0f-6f0b8e21e9de,0.59176,0.6044,0.09090909090909091,0.35942
a2a4e6b3-4b44-4d7f-9b1e-0b8a6a9e2f35,0.37644,0.72065,0.2,0.28526
c1b7d2c8-5e3f-4a71-9f0a-6d2b8c7e1a94,0.62036,0.00957,0.0,0.53693
c7f053a8-0a28-4d54-96b7-3e6a22e8c2f3,0.41919,0.6525,0.15789473684210525,0.30819
e678bfa5-6ff4-4a49-8472-7f792e9377b8,0.5625,0.79081,0.125,0.2989
9f2438e5-65df-46ac-9d84-b5ebc0a64b8f,0.02149,0.55376,0.25,0.23924
b2af3cb4-cf42-4ad7-9290-c0d90b6bdf5a,0.13393,0.67596,0.5,0.31932
6a49cfe8-3a1f-4b4d-b6a5-cbe12dfc59fc,0.11349,0.9531,0.16666666666666666,0.10902
bf8b6a7d-9e4e-4d75-87b7-2b5a1e36b6cf,0.03597,0.96592,0.0,0.02335
b7b2e927-3089-4b86-b066-21b34e815825,0.50118,0.47089,0.4,0.47676
a6f41347-f442-456c-bd09-2b3b5e226c7c,0.50006,0.02217,0.0,0.49263
5b0c890f-2a3c-4208-9c33-cb5a49b11b8d,0.0097,0.2302,0.0,0.25983
7cfe7b14-f3a4-45b4-8a4a-f11aee5a7462,0.99276,0.45943,0.0,0.51111
ee423733-4a60-4d5e-9a28-7b5949924c46,0.99552,0.91782,0.0,0.35923
62ce310b-7c91-4721-9cf0-2f0e444d8e1f,0.75788,0.01538,1.0,0.91417
7b420e1a-03b0-46f5-9b8e-213048281812,0.14793,0.14364,0.0,0.33476
ee1f9361-c1c9-4db3-bcf5-2edac7cf018d,0.75359,0.48154,0.0,0.42402
3c72cfb3-03b8-46af-bcdd-f08e15646a3e,0.50253,0.99516,0.0,0.16912
49b52fcb-dc69-46d0-8f32-26bb0ce5e721,0.44593,0.04315,0.0,0.46759
e7e8e216-56a1-4a2f-b1cf-891e0c6786ee,0.11674,0.43401,0.11764705882352941,0.26679
0e3e5e93-3b79-49f3-8b4e-13dbf7a73b6d,0.06402,0.17707,0.13636363636363635,0.3411
86cf4d15-0d59-4ce3-b8c1-33ea0d420f64,0.81211,0.78834,0.0,0.34126
0bb6cd70-5d8b-43a8-b1ea-76f8b20edbdf,0.0593,0.9944,0.0,0.02163
0b98ccde-4721-441b-8e62-46b50ce2b9c8,0.57779,0.66131,0.0,0.30549
