QuestionID,entailment_score,contradiction_score,obligation_coverage_score,composite_score
8d9c9c4a-2a66-4d1e-8b0b-0bbf3e3f1c2e,0.01126,0.21266,0.0,0.2662
7b3f8c8d-98a9-4a4b-9c1e-6a4c7aeb2f10,0.38889,0.61446,0.11764705882352941,0.29736
1dc7f828-3f5a-4f3d-8ef6-fd657d65d9a2,0.906,0.9514,0.16666666666666666,0.37376
e7a8248d-7d42-48c7-8e13-6407c6b5e991,0.66454,0.83357,0.07692307692307693,0.30263
27fb0e3b-cb35-46dc-bbb0-507adf02a3b8,0.46219,0.65514,0.05,0.28568
1d39b2f7-5c90-4457-8ce3-cac5d0317b4c,0.73373,0.98456,0.06666666666666667,0.27195
5ffbb16e-fad9-4f2f-87e3-2e73cf781a37,0.70593,0.96828,0.2894736842105263,0.34237
c3df01cd-5d9b-42a9-bb20-50893a9eb2c4,0.61377,0.91916,0.06896551724137931,0.25453
fb0a1f91-9601-4660-84ef-2de6a5192e03,0.70238,0.9535,0.10256410256410256,0.28381
4b04de5a-cae7-4e43-b10f-7bb2178f20eb,0.65485,0.94796,0.0,0.23563
15b3bb7f-2dbf-43de-b7f7-68af3a41ab21,0.7491,0.5432,0.07142857142857142,0.42578
44f5b9e4-7a27-4418-9041-08a2b5891d82,0.29035,0.88756,0.1111111111111111,0.1713
b6a21e92-0a4b-48df-9bb3-0c42b97958f1,0.01183,0.14503,0.0,0.28893
12e74317-345c-41e2-b74e-28e4a1fae51f,0.49996,0.24922,0.0,0.41691
f8c3c4f1-7c5b-4e9e-9f1c-2f0a9a5d8a71,0.87573,0.71644,0.043478260869565216,0.40092
3a6a2a13-9f57-4e5e-9c0f-6f0b8e21e9de,0.84539,0.83136,0.04225352112676056,0.35209
a2a4e6b3-4b44-4d7f-9b1e-0b8a6a9e2f35,0.03287,0.28364,0.0,0.24974
c1b7d2c8-5e3f-4a71-9f0a-6d2b8c7e1a94,0.49582,0.87846,0.8181818181818182,0.47851
c7f053a8-0a28-4d54-96b7-3e6a22e8c2f3,0.73072,0.86456,0.078125,0.31476
e678bfa5-6ff4-4a49-8472-7f792e9377b8,0.69738,0.63491,0.023255813953488372,0.36191
9f2438e5-65df-46ac-9d84-b5ebc0a64b8f,0.08993,0.37587,0.0625,0.25885
b2af3cb4-cf42-4ad7-9290-c0d90b6bdf5a,0.42074,0.63695,0.375,0.38626
6a49cfe8-3a1f-4b4d-b6a5-cbe12dfc59fc,0.52703,0.98456,0.14285714285714285,0.22844
bf8b6a7d-9e4e-4d75-87b7-2b5a1e36b6cf,0.16901,0.85926,0.0,0.10325
b7b2e927-3089-4b86-b066-21b34e815825,0.14549,0.72876,0.09090909090909091,0.16921
a6f41347-f442-456c-bd09-2b3b5e226c7c,0.20936,0.4901,0.09090909090909091,0.27006
5b0c890f-2a3c-4208-9c33-cb5a49b11b8d,0.01332,0.26936,0.0,0.24799
7cfe7b14-f3a4-45b4-8a4a-f11aee5a7462,0.87014,0.85009,0.0,0.34002
ee423733-4a60-4d5e-9a28-7b5949924c46,0.28478,0.50045,0.0625,0.28228
62ce310b-7c91-4721-9cf0-2f0e444d8e1f,0.75788,0.99679,0.35,0.37036
7b420e1a-03b0-46f5-9b8e-213048281812,0.99079,0.87264,0.0,0.37272
ee1f9361-c1c9-4db3-bcf5-2edac7cf018d,0.06852,0.82546,0.03125,0.09144
3c72cfb3-03b8-46af-bcdd-f08e15646a3e,0.00354,0.39215,0.0,0.2038
49b52fcb-dc69-46d0-8f32-26bb0ce5e721,0.7694,0.93114,0.71875,0.519
e7e8e216-56a1-4a2f-b1cf-891e0c6786ee,0.16837,0.39908,0.18518518518518517,0.31816
0e3e5e93-3b79-49f3-8b4e-13dbf7a73b6d,0.2194,0.97368,0.025,0.09024
86cf4d15-0d59-4ce3-b8c1-33ea0d420f64,0.38742,0.98752,0.5333333333333333,0.31108
0bb6cd70-5d8b-43a8-b1ea-76f8b20edbdf,0.00877,0.4982,0.0,0.17019
0b98ccde-4721-441b-8e62-46b50ce2b9c8,0.38113,0.66255,0.0,0.23953
9e0c4acb-c6a4-4a4e-88dc-78c47319b264,0.00459,0.01404,0.0,0.33018
a4c19a0e-9a0f-4a0a-8d0a-8f7f3f9d3b11,0.4438,0.75329,0.14285714285714285,0.27779
7f5e6f8a-0c5b-4c1a-9e2f-2b7a2c3d4e55,0.74714,0.61245,0.0,0.37823
c3d2b1a9-5e6f-4a7b-8c9d-1e2f3a4b5c66,0.26382,0.04342,0.3333333333333333,0.51791
f4e3d2c1-b0a9-4f8e-9d7c-6b5a4e3d2c77,0.97925,0.98634,0.0,0.33097
9b8a7c6d-5e4f-4d3c-8b2a-1f0e9d8c7b88,0.85905,0.66365,0.030303030303030304,0.40857
e1d2c3b4-a5f6-4789-9abc-0def12345678,0.23826,0.83951,0.5625,0.32042
ffbe2b4a-8bc0-4e3f-9e7d-74278b47e8e4,0.88592,0.74479,0.038461538461538464,0.3932
4f3edbc7-dbd2-4767-b6e2-25f789c59e7b,0.42202,0.37385,0.2222222222222222,0.42346
1ddda59c-cc5f-4a48-8b3b-b473e7c1b772,0.19712,0.51376,0.0,0.22779
5eaa77f2-c28e-44a4-9fd5-35d0a3d68ec9,0.07792,0.07932,0,0.33287
a7f51a0a-3d41-4e36-b80b-7f9c24a9ec11,0.15972,0.45522,0.0,0.23483
ae30f85f-d3f8-4b9c-9a65-87e3c9b7d1b2,0.82552,0.19182,0.0,0.54457
60d32e4a-6b13-4416-b32d-f6e20d6c1977,0.01803,0.13211,0.23076923076923078,0.37223
ee9b01a1-4586-43cf-8f34-98bfbab558b5,0.76662,0.43689,0.07692307692307693,0.46888
7c3f60a7-36b3-4ce5-9e54-4e74eb0b4229,0.00817,0.31016,0.14285714285714285,0.28029
fe07cb6d-2279-4ff9-a1cb-b9869b2472b3,0.21414,0.66036,0.2,0.25126
eb38a01a-b3b2-4ff8-bc1a-812e775b8fd6,0.82732,0.85443,0.018867924528301886,0.33059
61d98d87-6f90-43e5-9e35-633445e50a24,0.20141,0.65245,0.05555555555555555,0.20151
16a6e28e-bbea-4c6b-bf15-2a9e1a95815d,0.00253,0.515,0.0,0.16251
b64d3b35-70a7-43d9-933b-040c0c71bb3d,0.09467,0.8246,0.7272727272727273,0.33245
c39e71d5-5185-4f9d-8d5f-dfae97b11bc9,0.13705,0.47364,0.02,0.2278
57b84fd5-3640-4f3e-8a7a-32e40fd3f36c,0.79855,0.89647,0.04225352112676056,0.31478
c94e1e8e-3de8-49c4-a251-82d3c16d4725,0.35802,0.81421,0.047619047619047616,0.19714
a879f4c2-07b3-4f89-9467-68e5c721b967,0.72112,0.94748,0.2777777777777778,0.35047
b5a9c6b4-d96f-46dc-a5b1-41ff8473b283,0.76643,0.91745,0.0,0.28299
a3c2d8b5-fc5e-4eab-b15d-cf726e239a88,0.41627,0.59036,0.05263157894736842,0.29285
aa72b3b1-d75e-4264-870f-dc26f836d0e1,0.9929,0.95306,0.14285714285714285,0.39423
b33b64db-5dfb-4f31-bad5-3ec9875d2481,0.15955,0.49633,0.0,0.22107
ef9a33dc-46d2-49eb-bb71-71d3c6a3d7f4,0.29171,0.09767,0.5,0.56468
f17e0ae2-703e-4c2c-923a-5bfe2b23a41a,0.68188,0.19871,0.8,0.76106
fa64bb42-8f3a-4a1f-8a9a-9f91a38f1735,0.70054,0.90498,0.024390243902439025,0.27332
c61a7f33-76d5-42d7-8a9c-42744f76fc3d,0.36258,0.71857,0.08108108108108109,0.2417
e4b4e315-92d9-4ef8-a33b-1b6fa10d6a2e,0.00916,0.00671,0.0,0.33415
e30c9f45-1cb3-4e18-91c2-1ff37a8a86a3,0.40336,0.92125,0.0,0.1607
abf3f139-3dc4-49f5-bf22-c7a46b54ab22,0.24458,0.7012,0.0,0.18113
3f692e86-d266-47e7-94f4-6e75e00cd5cf,0.89261,0.53735,0.3125,0.55592
ea3d7a9b-891b-4c27-88e9-15b5153a91f9,0.17887,0.54221,0.0,0.21222
79db790a-bbb9-4e4f-87a7-0b2f4c5c5c1b,0.01049,0.36055,0.0,0.21665
3b74b311-bb48-4c72-8a26-d7a6170b3341,0.39079,0.93741,0.6428571428571429,0.36541
e19162dc-b896-4db8-b37c-8c217b7285a0,0.30797,0.27938,0.6666666666666666,0.56509
3c53cf86-7329-4e91-8e6b-99f2e251ac16,0.65674,0.43112,0.2,0.47521
79b6ad93-c22e-4c4a-9677-3b6e0e9f15b7,0.03702,0.38117,0,0.21862
b7c3e5a1-bd38-4f49-967b-3baf0e9f2e31,0.02048,0.21432,0.0,0.26872
f91851b8-bc6e-4e6b-9285-88b23ad4dc71,0.28958,0.90338,0.0,0.12873
a9f10c15-502a-40b5-92d0-123cc3e6b471,0.32948,0.25219,0.09090909090909091,0.3894
d5b9a5c7-7058-4e85-8c13-4051aef76813,0.99241,0.8439,0.8181818181818182,0.65556
a76f6a47-3983-42cc-9e61-5e1d07963d22,0.44994,0.89926,0.5,0.35023
4cbfbd3b-2b57-46cf-9217-5eb6e57b7a98,0.00576,0.19693,0.0,0.26961
25f6e011-51db-4b94-9d76-70edb6df5452,0.65552,0.36547,0.4090909090909091,0.56638
d8b3ef4a-d1cc-47b5-b48f-c56f8a2d3c99,0.4581,0.61945,0.4166666666666667,0.41844
e42b63aa-47af-48cd-82f5-3f07c6b1651a,0.23429,0.96405,0.020618556701030927,0.09695
b296b21c-4df3-4a21-9e5e-3cb125ba3b63,0.36079,0.4505,0.014285714285714285,0.30819
a2ad3f6d-43c7-45fc-a6b3-90bdb4acfd3d,0.34789,0.88878,0.4,0.28637
2f6370ce-c2a0-47df-802f-8435bce97b9f,0.66624,0.59861,0.22727272727272727,0.43163
41dd9efb-bc1d-42d9-a808-7b9d25f0cf9f,0.57801,0.92527,0.2,0.28425
f8d5e31f-0f9f-4031-9a4b-2e12e7834f62,0.33403,0.56358,0.025,0.26515
8496d73c-5f8a-4b91-8e2e-8f2198b0ad8e,0.41004,0.80352,0.029411764705882353,0.21198
aa6e678f-fcc9-4f7a-a759-293a4d2f68cf,0.5007,0.59558,0.2,0.36837
5f0b27b9-b6e3-4cb3-9a1a-59a93f09f38f,0.22566,0.44525,0.09090909090909091,0.29044
a183fae9-7ed0-4e4a-8b0f-406d27a517b2,0.46368,0.72987,0.2857142857142857,0.33984
3f61e45e-86e8-4d3a-9a7c-885b4d7ecbc3,0.33656,0.18314,0.4,0.51781
c5cf0419-1f5c-43d2-9789-912a0869d0a9,0.43166,0.67073,0.0,0.25364
9c0f4a10-511e-48d2-8f57-dad5ce53fc54,0.02099,0.59595,0.09090909090909091,0.17198
d34ce19c-39b1-40bb-b768-193d11b2e6e3,0.60565,0.9908,0.8,0.47162
91e17e0c-b8b0-49cf-a3e8-bb9cf540f96a,0.05898,0.4138,0.0,0.21506
d1c7de33-ecb4-4a8e-9a6e-f2daebd8db65,0.057,0.78301,0.058823529411764705,0.11094
fbef5b15-4993-4f8d-89d7-0bcbda4f324b,0.0,0.0,0.0,0.0
b84bc79d-bded-4b43-bc9a-bf0f0fbe0f7b,0.16151,0.53454,0.0,0.20899
59c9857e-d3ac-4cb3-bf7f-bf202a37f964,0.17799,0.09397,0.0,0.36134
1d8e3951-15bb-4f24-bf40-60d99c8faac2,0.0237,0.05898,0.0,0.32157
8a7a94a9-2f45-45c2-8c16-68b7b2731f4f,0.0091,0.06243,0.0,0.31556
c7b1e4e4-0c9b-4eac-9133-4a8e93b57c15,0.11546,0.43081,0.0,0.22822
f0a76c6b-7dc3-44da-a5b7-8d7e5f7a7329,0.23306,0.56801,0.08333333333333333,0.24946
38c7f61a-f28d-4c2f-b187-b8a88efcf8a5,0.34657,0.3759,0.09523809523809523,0.3553
44ad9f16-5e9e-4cf1-b9c2-5d7efc4f7f77,0.26977,0.81041,0.4,0.28645
60f7e45b-182b-47b5-9058-7b58ac64e21b,0.49984,0.75746,0.0,0.24746
aee7f9aa-2a5e-4c4c-a099-7c0b0e5049de,0.01026,0.63537,0.0,0.12496
0a0ff334-02c9-4e7c-8d8a-f4ff60d6a3b1,0.00303,0.47263,0.0,0.1768
15502719-091a-4d2a-8bb3-c682a995d1eb,0.6663,0.98484,0.23684210526315788,0.3061
19cefd9b-9e40-4e9c-bde3-08c64c4e7b35,0.62869,0.99212,0.6,0.41219
a44e7b9f-7ed2-49a3-8c42-4e2b9dcf12b9,0.64802,0.38792,0.1,0.45337
dcdf3180-40e0-47db-943c-1b1577b76055,0.42375,0.47134,0.09090909090909091,0.34777
b3f15232-f5a1-4f26-99e7-8b8f7028a2c2,0.22021,0.44168,0.2,0.32618
d7d95f42-6353-4b6f-8b8c-67f42f47ce2a,0.25774,0.36483,0.0,0.29764
d2857cb1-efb0-4645-b715-b15e3b3e4922,0.69191,0.65997,0.25,0.42731
59af3c07-70a8-457f-b33c-3d44c5d819a1,0.31561,0.54691,0.0,0.25623
b97ab3e5-ec4e-4f14-8a93-2267823c2ad4,0.32628,0.20428,0.3076923076923077,0.47656
2a61b7f1-9729-4c13-8e9a-cbff10f59c1d,0.03341,0.17008,0.0,0.28778
f826ed4b-6da2-4b1c-942a-8b9f1195e9e7,0.83171,0.9412,0.038461538461538464,0.30966
d19b02e0-f0fd-4cb2-bcbf-b9330b44197a,0.46361,0.79149,0.0,0.22404
e61b08c3-1a6c-41ce-8b2c-217fca17d6cb,0.70151,0.81414,0.27906976744186046,0.38881
c413eb9c-b601-4e65-a9a7-236af2468721,0.01295,0.75873,0.125,0.12641
d9675e2e-d13f-46ee-aed4-8dc868a48e4f,0.3688,0.79819,0.14285714285714285,0.23782
8cb7d6a1-fc47-4a90-9d38-d8ffce8c3fcb,0.01402,0.22418,0.0,0.26328
19a6efb9-2b7a-4f85-86dc-5f879bdbcd77,0.97297,0.04877,0.0,0.6414
7eecbaf2-c63e-4ea7-a8a7-839fb4e3224a,0.65624,0.93207,0.0,0.24139
9699ac89-f1ec-49e3-a4de-8f12fa3fcdee,0.11025,0.49777,0.0,0.20416
edb9dd2d-931c-48f5-9108-4512634ee8f8,0.19995,0.64564,0.0,0.18477
ac64b0a1-b2c3-4226-8b09-bc6ab75056ef,0.0,0.0,0.0,0.0
7cd47bb3-c874-4982-a31e-41b8a4d75556,0.70118,0.40456,0.2222222222222222,0.50628
a7c47dc3-24b2-48f4-bb7a-8dd2d2f3c7e2,0.71011,0.71142,0.5,0.49956
d7c4f8c2-5936-4b79-9db0-2e42cf57c5d5,0.84553,0.27751,0.0,0.52267
f3c0d5b5-40c3-4048-bd76-8cc9d1e8ff4f,0.71017,0.87676,0.0,0.2778
fae43e9c-31d8-4d9b-8802-d8cb9447e703,0.50002,0.98494,0.0,0.17169
ad7877c3-92cf-421b-b96c-dfe7c11b9f3b,0.00948,0.01973,0.0,0.32992
28e7b5de-2a7d-48bb-ae82-2d4efc1de292,0.00687,0.49481,0.0,0.17069
be48f13b-f9c1-4cf8-a6eb-3b274b60d125,0.36328,0.21178,0.041666666666666664,0.39772
91a47a3f-c32d-4eac-a6c4-9dc6a3b153b7,0.38374,0.92687,0.0,0.15229
e02d5b1c-d87e-4a09-a750-f8a94c30e57b,0.72486,0.49483,0.0,0.41001
